Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
North,Monday Week 3,Cherhill,Olivers Hill,"Olivers Hill, Cherhill",2020-11-23,Monday,4,12:40,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Tuesday Week 4,Chilmark,Hops Close,"Hops Close, Chilmark",2020-12-01,Tuesday,4,15:05,15:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
North,Thursday Week 4,Chilton Foliat,Stagg Hill,"Stagg Hill, Chilton Foliat",2020-12-03,Thursday,4,13:00,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
Residential homes,Monday Week 3,Chippenham,Avon Court,"Avon Court, Chippenham",2020-11-23,Monday,4,13:25,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/102
Residential homes,Monday Week 3,Chippenham,Cepen Lodge,"Cepen Lodge, Chippenham",2020-11-23,Monday,4,10:50,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/102
Residential homes,Tuesday Week 4,Chippenham,Clift House,"Clift House, Chippenham",2020-12-01,Tuesday,4,11:15,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/110
Residential homes,Tuesday Week 4,Chippenham,Croft Court,"Croft Court, Chippenham",2020-12-01,Tuesday,4,10:30,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/110
Residential homes,Monday Week 3,Chippenham,Fairways,"Fairways, Chippenham",2020-11-23,Monday,4,11:25,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/102
Residential homes,Tuesday Week 4,Chippenham,Ferfoot,"Ferfoot, Chippenham",2020-12-01,Tuesday,4,12:35,12:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/110
Residential homes,Monday Week 3,Chippenham,Ivyfield Court,"Ivyfield Court, Chippenham",2020-11-23,Monday,4,13:00,13:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/102
